TIMESTAMP,solar_TIMESTAMP,GBR_GUI_ST3_Psy_Js_1,GBR_GUI_ST3_Psy_Js_2,GBR_GUI_ST3_Psy_Js_3,GBR_GUI_ST3_Psy_Js_4,GBR_GUI_ST3_Psy_Js_5,GBR_GUI_ST3_Psy_Js_6,GBR_GUI_ST3_Psy_Js_7,GBR_GUI_ST3_Psy_Js_8
2003-05-27T08:15:00Z,2003-05-27T07:58:03Z,3.972509897025419e-4,3.544780475028078e-5,1.6329907088845905e-4,1.1095435037064761e-4,1.8690896914532522e-4,0.001007907118730671,1.500456225297043e-4,2.0291952518592947e-4
2003-05-27T08:30:00Z,2003-05-27T08:13:03Z,6.270100351558609e-4,6.663737689468265e-5,2.55727421181696e-4,3.2503064759250525e-4,3.111966436351292e-4,0.0016599014619449518,4.6454821181938507e-4,2.9902501684419413e-4
2003-05-27T08:45:00Z,2003-05-27T08:28:03Z,8.803287840824524e-4,7.714571793593556e-5,3.4744025941579903e-4,7.147131130189089e-4,2.658464319073286e-4,0.0021455079519889717,5.751718226452702e-4,3.4963008675651617e-4
2003-05-27T09:00:00Z,2003-05-27T08:43:03Z,0.0012603722981194322,1.07228954639586e-4,5.121778316726494e-4,0.0011822629742337866,3.857421337440601e-4,0.0027444175244782337,7.982786198037454e-4,3.665656001437232e-4
2003-05-27T09:15:00Z,2003-05-27T08:58:03Z,0.0015720848357666697,1.5771042723108575e-4,6.542764279863792e-4,0.0016563323327374872,5.704931071596745e-4,0.0030475949013069265,0.0012526169702005343,5.652606497943798e-4
2003-05-27T09:30:00Z,2003-05-27T09:13:03Z,0.0019144191166345114,2.0638225971088338e-4,8.107395037635489e-4,0.0020795897263639358,7.884770824948087e-4,0.003954220780389347,0.0015409357396020482,9.404634315641165e-4
2003-05-27T09:45:00Z,2003-05-27T09:28:03Z,0.0023491236886543695,3.2024294554073446e-4,0.0011949453342555113,0.0028004072802649024,0.0010614780011186974,0.004612092898334908,0.002204474826490316,0.0013134601502479233
2003-05-27T10:00:00Z,2003-05-27T09:43:03Z,0.0027850048159794465,4.886592638411913e-4,0.0017241947655608598,0.0037374611282445544,0.0014118470872163365,0.0056038996349453045,0.002867229062775302,0.001567014207979918
2003-05-27T10:15:00Z,2003-05-27T09:58:03Z,0.0030910668920941806,6.673955492886229e-4,0.0023905342676610263,0.00479915088201226,0.0018786980724742085,0.006048792324400098,0.0033529663887390797,0.0018668092086943807
2003-05-27T10:30:00Z,2003-05-27T10:13:03Z,0.0036166588572342008,7.884139610493853e-4,0.0029238815029428663,0.005813371591797509,0.0022990449481242454,0.006266156182868804,0.0036630462155193815,0.0021731849185208972
2003-05-27T10:45:00Z,2003-05-27T10:28:03Z,0.003987427294190826,8.944075885171122e-4,0.003553783292567404,0.006840204122335884,0.002569369443754318,0.006919141863339428,0.004222081613295317,0.002797474265996625
2003-05-27T11:00:00Z,2003-05-27T10:43:03Z,0.004343326039439896,0.0011442499246921787,0.004112324933192107,0.007657992338153781,0.0029477137410395078,0.00748616553823101,0.004215623128384129,0.002694832773241406
2003-05-27T11:15:00Z,2003-05-27T10:58:03Z,0.004489656577181707,0.0013118669647549383,0.004628439849535916,0.00873535835394258,0.003402026723072502,0.007660948981918994,0.0045481683806586,0.00310809604374781
2003-05-27T11:30:00Z,2003-05-27T11:13:03Z,0.004702919157150911,0.0014228401527426663,0.005177821067214259,0.009729909185329833,0.0036407783028977697,0.0083596948538885,0.005112814102339012,0.0036329328731067485
2003-05-27T11:45:00Z,2003-05-27T11:28:03Z,0.004968944773517528,0.0015125890479393102,0.00540592351639569,0.01027148805847894,0.0037129896645950937,0.00836358952735156,0.0053606378700085415,0.0036513112515453713
2003-05-27T12:00:00Z,2003-05-27T11:43:03Z,0.0051098617732969615,0.001648701653116563,0.005578634376956715,0.010833124844514316,0.0040703618263642485,0.00885414780038527,0.005235770308128288,0.0034624505533080996
2003-05-27T12:15:00Z,2003-05-27T11:58:03Z,0.005428276950211683,0.001718712943693358,0.006008492015612949,0.011316241558596582,0.003978325038075754,0.008410742350544403,0.005561954545240426,0.00400822583672889
2003-05-27T12:30:00Z,2003-05-27T12:13:03Z,0.00542373092525519,0.0017563778419371458,0.0065986735721941135,0.011656021460645717,0.003887038738416312,0.00878172202167666,0.0063043687884848446,0.004299442042262993
2003-05-27T12:45:00Z,2003-05-27T12:28:03Z,0.005405590589458416,0.0018020761965106922,0.00679095858372546,0.011722984402621714,0.0038786871779110054,0.008833330408869381,0.006544231778001361,0.004632549060884805
2003-05-27T13:00:00Z,2003-05-27T12:43:03Z,0.005555370257935853,0.0018560201886753996,0.006729812009092175,0.011592033921298293,0.00389763383507065,0.008609148477938484,0.006433278103991804,0.0044487370056555745
2003-05-27T13:15:00Z,2003-05-27T12:58:03Z,0.005785674358442134,0.0019335206414577023,0.0070875325167330345,0.011850974915992239,0.0037829356783065566,0.008803636645660425,0.006716512414524328,0.004918361519303622
2003-05-27T13:30:00Z,2003-05-27T13:13:03Z,0.006027053277859592,0.001959446188268662,0.007534523806035446,0.012108614483906105,0.003742787871804268,0.00889968742285714,0.006189385170112197,0.005205223908790841
2003-05-27T13:45:00Z,2003-05-27T13:28:03Z,0.005938770445658442,0.0019605382122111956,0.007252481412543397,0.01162326462215661,0.003936653241951794,0.009379876316823365,0.00663310909194528,0.00506613894436206
2003-05-27T14:00:00Z,2003-05-27T13:43:03Z,0.005950858887310062,0.0018850566079622552,0.00672744634170709,0.010858389801383506,0.004043952776995987,0.008406238180219447,0.006154446468251339,0.004555486094287294
2003-05-27T14:15:00Z,2003-05-27T13:58:03Z,0.005272092583876238,0.0016364622484994593,0.0059349177557028576,0.009891846710019529,0.003721241214298078,0.007596557683388375,0.005099060193990551,0.004168379683084179
2003-05-27T14:30:00Z,2003-05-27T14:13:03Z,0.005371181464808917,0.0015551766391904683,0.005647996676182858,0.009310232728513244,0.003495152173943815,0.007514957850270701,0.005016565615386736,0.0038691113477469737
2003-05-27T14:45:00Z,2003-05-27T14:28:03Z,0.005035292706330043,0.0014957851157450625,0.005108717481955674,0.008863998596517687,0.0031385338311794874,0.007386939965118397,0.004817037383693577,0.0035719742807798927
2003-05-27T15:00:00Z,2003-05-27T14:43:03Z,0.00480963674072905,0.0014076404975834275,0.005197278683731825,0.008735055820776588,0.003015575546472781,0.0073620449955364535,0.004695393460224005,0.0036497016005152647
2003-05-27T15:15:00Z,2003-05-27T14:58:03Z,0.004776074074473902,0.0013795175819171562,0.005245395594888085,0.008727075882186883,0.002870324920490649,0.007251715060540153,0.004504372274375134,0.003618864230562425
2003-05-27T15:30:00Z,2003-05-27T15:13:03Z,0.004828739885063789,0.0013848752363177087,0.005172098395204302,0.008552163773337208,0.002732984352251511,0.007149436192113381,0.004533154673095029,0.0035338662566883486
2003-05-27T15:45:00Z,2003-05-27T15:28:03Z,0.004702528978029205,0.001308453633987676,0.005083293721788607,0.008467723508420354,0.002704205526406486,0.00759922716256662,0.004461822098218938,0.003475963673934374
