TIMESTAMP,solar_TIMESTAMP,GBR_ABE_PLO_Psi_Jt_1,GBR_ABE_PLO_Psi_Jt_2,GBR_ABE_PLO_Psi_Jt_3,GBR_ABE_PLO_Psi_Jt_4,GBR_ABE_PLO_Psi_Jt_5,GBR_ABE_PLO_Psi_Jt_6,GBR_ABE_PLO_Psi_Jt_7,GBR_ABE_PLO_Psi_Jt_8,GBR_ABE_PLO_Psi_Jt_9,GBR_ABE_PLO_Psi_Jt_10,GBR_ABE_PLO_Psi_Jt_11,GBR_ABE_PLO_Psi_Jt_12,GBR_ABE_PLO_Psi_Jt_13,GBR_ABE_PLO_Psi_Jt_14,GBR_ABE_PLO_Psi_Jt_15
2001-04-19T19:00:00Z,2001-04-19T18:45:50Z,0.00051364722621511955,4.998003573511878e-4,6.405914941116244e-4,7.238286578481406e-4,5.918357771988842e-4,2.709382264368668e-4,4.1525669776307906e-4,3.0040149273860545e-4,3.801371295951429e-4,0,0,0,0,0,0
2001-04-19T19:30:00Z,2001-04-19T19:15:50Z,4.241105964483579e-4,3.774535807936115e-4,4.847678147478235e-4,5.35686210919611e-4,4.254764123318225e-4,2.0649389434306155e-4,3.104611388045964e-4,2.3578811855138923e-4,2.9445048194758766e-4,0,0,0,0,0,0
2001-04-19T20:00:00Z,2001-04-19T19:45:50Z,3.4974520508575463e-4,2.597069788112983e-4,3.47134985527217e-4,3.722763836185051e-4,2.910723202716166e-4,1.4265779539082216e-4,2.139813388923997e-4,1.710314176064292e-4,2.069870998966235e-4,0,0,0,0,0,0
2001-04-19T20:30:00Z,2001-04-19T20:15:50Z,2.6954574144826465e-4,1.814484028909618e-4,2.366752817977131e-4,2.5914336968966645e-4,1.9940335800904303e-4,9.857391204241279e-5,1.3932485156970936e-4,1.1909923503368267e-4,1.3785227700695822e-4,0,0,0,0,0,0
2001-04-19T21:00:00Z,2001-04-19T20:45:50Z,1.9038292498768232e-4,1.2308495636037672e-4,1.7659588113807208e-4,1.6915282938298194e-4,1.4320510791079432e-4,6.478738226427412e-5,8.760781169179488e-5,7.17541673256478e-5,8.193658787510862e-5,0,0,0,0,0,0
2001-04-19T21:30:00Z,2001-04-19T21:15:50Z,1.428453655534936e-4,8.587661221160958e-5,1.5030990588776522e-4,1.1082333296913368e-4,9.569165095117465e-5,3.722385648548186e-5,5.8599796152977135e-5,4.542459925348897e-5,5.227648882956885e-5,0,0,0,0,0,0
2001-04-19T22:00:00Z,2001-04-19T21:45:50Z,1.3043550101655898e-4,5.18370601251504e-5,7.77804659879517e-5,6.847139749731385e-5,6.0215225449688234e-5,1.826891799583639e-5,3.542932564763028e-5,3.623296285484735e-5,3.592886115820817e-5,0,0,0,0,0,0
2001-04-19T22:30:00Z,2001-04-19T22:15:50Z,1.1032452724759447e-4,2.1965656223138936e-5,3.2882077644090784e-5,3.5428461457091716e-5,2.5495981507026342e-5,1.5795899979580813e-5,1.5037029373912208e-5,1.6651886573581016e-5,2.0966116477062965e-5,0,0,0,0,0,0
2001-04-19T23:00:00Z,2001-04-19T22:45:50Z,9.862077506164631e-5,5.664209968156853e-6,1.0099773245574191e-5,1.5037020833307466e-5,8.226835142782517e-6,1.1075628619910132e-5,5.28991418910326e-6,4.968270234085591e-6,7.924199453983966e-6,0,0,0,0,0,0
2001-04-19T23:30:00Z,2001-04-19T23:15:50Z,1.1428754241557164e-4,0,0,4.858975943741611e-6,0,4.7135742758078806e-6,0,0,0,0,0,0,0,0,0
2001-04-20T00:00:00Z,2001-04-19T23:45:50Z,5.931287554756096e-5,2.1790062630176222e-5,9.805729722187107e-5,5.782348330093431e-5,3.162504562578768e-5,4.561503338165867e-5,3.1984044086418405e-6,1.914314682659847e-5,4.8738987332691434e-5,0,0,0,0,0,0
