TIMESTAMP,TIMESTAMP_solar,USA_WVF_Aru_Js_1,USA_WVF_Aru_Js_2,USA_WVF_Asa_Js_3,USA_WVF_Pse_Js_4,USA_WVF_Qal_Js_5,USA_WVF_Qal_Js_6,USA_WVF_Qru_Js_7,USA_WVF_Qru_Js_8
1998-04-04T01:00:00Z,1998-04-03T19:38:13Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-04-04T02:00:00Z,1998-04-03T20:38:13Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-04-04T03:00:00Z,1998-04-03T21:38:13Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-04-04T04:00:00Z,1998-04-03T22:38:13Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-04-04T05:00:00Z,1998-04-03T23:38:13Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-04-04T06:00:00Z,1998-04-04T00:38:30Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-04-04T07:00:00Z,1998-04-04T01:38:30Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-04-04T08:00:00Z,1998-04-04T02:38:30Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-04-04T09:00:00Z,1998-04-04T03:38:30Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-04-04T10:00:00Z,1998-04-04T04:38:30Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-04-04T11:00:00Z,1998-04-04T05:38:30Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-04-04T12:00:00Z,1998-04-04T06:38:30Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-04-04T13:00:00Z,1998-04-04T07:38:30Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-04-04T14:00:00Z,1998-04-04T08:38:30Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-04-04T15:00:00Z,1998-04-04T09:38:30Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-04-04T16:00:00Z,1998-04-04T10:38:30Z,NA,NA,NA,NA,NA,NA,NA,NA
