DateTime (Day),Volumetric Soil Moisture [m3/m3],
,0-120 cm,
,mean,SD
'26-Apr-2018',0.025459833,0.0032104952
'27-Apr-2018',0.0251465458,0.0031615184
'28-Apr-2018',0.0248968623,0.0031229497
'29-Apr-2018',0.0246754484,0.0030924886
'30-Apr-2018',0.0244602062,0.003071089
'01-May-2018',0.0242003327,0.0030460976
'02-May-2018',0.0239713045,0.0030145032
'03-May-2018',0.0238835461,0.0030903125
'04-May-2018',0.0324649355,0.0115411943
'05-May-2018',0.0315341639,0.0104212107
'06-May-2018',0.0303612122,0.0090848291
'07-May-2018',0.0293683367,0.0080204395
'08-May-2018',0.0285992138,0.0072402076
'09-May-2018',0.027984112,0.0066725802
'10-May-2018',0.0425403312,0.0210331111
'11-May-2018',0.0530874197,0.0269568773
'12-May-2018',0.0508725034,0.0182455696
'13-May-2018',0.047955207,0.0140154432
'14-May-2018',0.0460485631,0.0117731349
'15-May-2018',0.0452711611,0.010803393
'16-May-2018',0.0449440667,0.0103362407
'17-May-2018',0.0438588862,0.009401857
'18-May-2018',0.0434200146,0.009063584
'19-May-2018',0.0458886555,0.0111812236
'20-May-2018',0.0467862952,0.0117279643
'21-May-2018',0.0516022698,0.0153555278
'22-May-2018',0.0514576914,0.0143484303
'23-May-2018',0.051459368,0.0138360609
'24-May-2018',0.0505109415,0.0128209497
'25-May-2018',0.0492069695,0.0117361508
'26-May-2018',0.0477780029,0.0106931826
'27-May-2018',0.0462474425,0.0096418023
'28-May-2018',0.0447821181,0.0086947815
'29-May-2018',0.0434136183,0.0078848016
'30-May-2018',0.0426900184,0.0076518202
'31-May-2018',0.0466489898,0.0108369586
'01-Jun-2018',0.0463206024,0.0101410006
'02-Jun-2018',0.0454615947,0.0093526748
'03-Jun-2018',0.0446665099,0.0087598638
'04-Jun-2018',0.0438400218,0.0082095367
'05-Jun-2018',0.0429237146,0.0076395082
'06-Jun-2018',0.0418832751,0.0070858293
'07-Jun-2018',0.0407823711,0.0065590112
'08-Jun-2018',0.0400673268,0.0062884716
'09-Jun-2018',0.039535894,0.0061199767
'10-Jun-2018',0.0388736971,0.0058854061
'11-Jun-2018',0.038167309,0.0056644908
'12-Jun-2018',0.0374419115,0.0054670591
'13-Jun-2018',0.0370892876,0.0055338594
'14-Jun-2018',0.0387923038,0.0069263163
'15-Jun-2018',0.0394957932,0.0074052595
'16-Jun-2018',0.0422752475,0.0092519882
'17-Jun-2018',0.0565201667,0.0172685073
'18-Jun-2018',0.0622786769,0.0149491752
'19-Jun-2018',0.060192075,0.0126435469
'20-Jun-2018',0.0585225716,0.0112217234
'21-Jun-2018',0.0569912586,0.0100736508
'22-Jun-2018',0.0556884106,0.0092084347
'23-Jun-2018',0.0546540113,0.0085898348
'24-Jun-2018',0.0539963123,0.0082278078
'25-Jun-2018',0.0532935162,0.0078508347
'26-Jun-2018',0.0525989073,0.0075022144
'27-Jun-2018',0.0518612185,0.007146
'28-Jun-2018',0.0512872713,0.0069026266
'29-Jun-2018',0.0506720809,0.0067057126
'30-Jun-2018',0.0500214167,0.0065377307
