TIMESTAMP,solar_TIMESTAMP,MEX_VER_BSJ_Pme_Jt_1,MEX_VER_BSJ_Spe_Jt_2,MEX_VER_BSJ_Lst_Jt_3,MEX_VER_BSJ_Cma_Jt_4,MEX_VER_BSJ_Pme_Jt_5,MEX_VER_BSJ_Lst_Jt_6,MEX_VER_BSJ_Tin_Jt_7,MEX_VER_BSJ_Pme_Jt_8
2016-02-27T08:15:00Z,2016-02-27T01:34:28Z,-260.91775936182194,NA,-18.28375941375257,-15.524701199937626,-53.03331687091643,NA,3.9198185365041063,146.0216282976998
2016-02-27T08:30:00Z,2016-02-27T01:49:28Z,-54.67009600451335,NA,-2.0466401994563417,-19.03215154953568,-225.68749239341238,NA,6.9519319002987405,-48.397268685835684
2016-02-27T08:45:00Z,2016-02-27T02:04:28Z,-49.173345003751365,NA,-11.408095237779811,-10.677983527840402,-159.02194293978377,NA,-0.9936062600015069,184.2646765767747
2016-02-27T09:00:00Z,2016-02-27T02:19:28Z,-124.88913916099654,NA,5.308760206027005,-16.573635146461818,-260.75235417622105,NA,0.44292436500450527,-44.76940952432875
2016-02-27T09:15:00Z,2016-02-27T02:34:28Z,38.23657260351945,NA,20.060081303232394,-10.972919806603528,-111.04631686298112,NA,-0.4966984657788962,37.9420090532756
2016-02-27T09:30:00Z,2016-02-27T02:49:28Z,-103.46333519344572,NA,-16.07879358764701,-28.968305349816468,-177.93315870005029,NA,0.5679634507639165,-131.15051448952056
2016-02-27T09:45:00Z,2016-02-27T03:04:28Z,-130.0621718885377,NA,-19.368775150392818,-18.891223875154108,-197.30881411418588,NA,-0.49603826722919275,-168.79513680213483
2016-02-27T10:00:00Z,2016-02-27T03:19:28Z,-103.90502531469181,NA,-1.930743084416804,-2.221204040732373,-225.94606529814797,NA,7.634036471313504,-64.15363398484634
2016-02-27T10:15:00Z,2016-02-27T03:34:28Z,-33.38148131908133,NA,11.306491983928893,-15.476973441049724,-227.76479689012626,NA,7.663273701431487,-95.03953328587633
2016-02-27T10:30:00Z,2016-02-27T03:49:28Z,-16.190131869051704,NA,-18.837372643408884,-11.148319718148608,-170.3534700474927,NA,2.3064192809098163,-99.69679304778073
2016-02-27T10:45:00Z,2016-02-27T04:04:28Z,-216.19673856871745,NA,-16.492577374699756,-16.616412566785687,-103.2142892709517,NA,-0.9933682858790148,25.000892428828266
2016-02-27T11:00:00Z,2016-02-27T04:19:28Z,-88.92949754029243,NA,-10.064468246023399,-8.164419499734542,-180.06452180366847,NA,-9.15095165978175,287.62232929875387
2016-02-27T11:15:00Z,2016-02-27T04:34:28Z,-12.542563959810014,NA,24.958384665226877,-22.14977702182994,-90.29758831350757,NA,14.16514920629207,89.6883408417262
2016-02-27T11:30:00Z,2016-02-27T04:49:28Z,-130.14481602374292,NA,-4.757412518835801,-10.697851806813633,-237.75742353654243,NA,15.460735019764568,-61.7097971244385
2016-02-27T11:45:00Z,2016-02-27T05:04:28Z,4.592100079476424,NA,-5.09792127164465,0.4103835121227455,-96.18255986220028,NA,3.982209324291203,36.53201588125022
2016-02-27T12:00:00Z,2016-02-27T05:19:28Z,30.550321257436522,NA,9.334302817157562,-15.097428408364966,-64.24739964745473,NA,1.1830884870208929,87.01242581595577
2016-02-27T12:15:00Z,2016-02-27T05:34:28Z,-128.38697916638432,NA,-21.195494452825336,-7.171618634791184,-56.57252510439264,NA,-0.5011628530166395,71.5502078657232
2016-02-27T12:30:00Z,2016-02-27T05:49:28Z,-82.68126501161488,NA,4.92151806933645,6.2384579021317785,-192.7705867811352,NA,7.626722483839563,63.68928748283317
2016-02-27T12:45:00Z,2016-02-27T06:04:28Z,-180.81448894381117,NA,-6.374564682658633,-14.989325735474289,-121.05361061793228,NA,-19.15910692555127,90.70787501526719
