TIMESTAMP,solar_TIMESTAMP,ta,rh,vpd,ppfd_in,swc_shallow,swc_deep,sw_in,ext_rad
2007-10-03T13:00:00Z,2007-10-03T12:37:22Z,,,,,,,CALCULATED,CALCULATED
2007-10-03T13:15:00Z,2007-10-03T12:52:22Z,,,,,,,CALCULATED,CALCULATED
2007-10-03T13:30:00Z,2007-10-03T13:07:22Z,,,,,,,CALCULATED,CALCULATED
2007-10-03T13:45:00Z,2007-10-03T13:22:22Z,,,,,,,CALCULATED,CALCULATED
2007-10-03T14:00:00Z,2007-10-03T13:37:22Z,,,,,,,CALCULATED,CALCULATED
2007-10-03T14:15:00Z,2007-10-03T13:52:22Z,,,,,,,CALCULATED,CALCULATED
2007-10-03T14:30:00Z,2007-10-03T14:07:22Z,,,,,,,CALCULATED,CALCULATED
2007-10-03T14:45:00Z,2007-10-03T14:22:22Z,,,,,,,CALCULATED,CALCULATED
2007-10-03T15:00:00Z,2007-10-03T14:37:22Z,,,,,,,CALCULATED,CALCULATED
2007-10-03T15:15:00Z,2007-10-03T14:52:22Z,,,,,,,CALCULATED,CALCULATED
2007-10-03T15:30:00Z,2007-10-03T15:07:22Z,,,,,,,CALCULATED,CALCULATED
2007-10-03T15:45:00Z,2007-10-03T15:22:22Z,,,,,,,CALCULATED,CALCULATED
2007-10-03T16:00:00Z,2007-10-03T15:37:22Z,,,,,,,CALCULATED,CALCULATED
2007-10-03T16:15:00Z,2007-10-03T15:52:22Z,,,,,,,CALCULATED,CALCULATED
2007-10-03T16:30:00Z,2007-10-03T16:07:22Z,,,,,,,CALCULATED,CALCULATED
2007-10-03T16:45:00Z,2007-10-03T16:22:22Z,,,,,,,CALCULATED,CALCULATED
2007-10-03T17:00:00Z,2007-10-03T16:37:22Z,,,,,,,CALCULATED,CALCULATED
2007-10-03T17:15:00Z,2007-10-03T16:52:22Z,,,,,,,CALCULATED,CALCULATED
2007-10-03T17:30:00Z,2007-10-03T17:07:22Z,,,,,,,CALCULATED,CALCULATED
2007-10-03T17:45:00Z,2007-10-03T17:22:22Z,,,,,,,CALCULATED,CALCULATED
2007-10-03T18:00:00Z,2007-10-03T17:37:22Z,,,,,,,CALCULATED,CALCULATED
2007-10-03T18:15:00Z,2007-10-03T17:52:22Z,,,,,,,CALCULATED,CALCULATED
2007-10-03T18:30:00Z,2007-10-03T18:07:22Z,,,,,,,CALCULATED,CALCULATED
