TIMESTAMP,solar_TIMESTAMP,AUS_BRI_BRI_Ncu_Jt_1,AUS_BRI_BRI_Ncu_Jt_2,AUS_BRI_BRI_Ncu_Jt_3,AUS_BRI_BRI_Ncu_Jt_4,AUS_BRI_BRI_Ncu_Jt_5
2009-09-14T12:00:00Z,2009-09-14T21:49:26Z,,,,,
2009-09-14T12:30:00Z,2009-09-14T22:19:26Z,,,,,
2009-09-14T12:59:59Z,2009-09-14T22:49:25Z,,,,,
2009-09-14T13:30:00Z,2009-09-14T23:19:26Z,,,,,
2009-09-14T14:00:00Z,2009-09-14T23:49:26Z,,,,,
2009-09-14T14:29:59Z,2009-09-15T00:19:46Z,,,,,
2009-09-14T15:00:00Z,2009-09-15T00:49:47Z,,,,,
2009-09-14T15:30:00Z,2009-09-15T01:19:47Z,,,,,
2009-09-14T15:59:59Z,2009-09-15T01:49:46Z,,,,,
2009-09-14T16:30:00Z,2009-09-15T02:19:47Z,,,,,
2009-09-14T17:00:00Z,2009-09-15T02:49:47Z,,,,,
2009-09-14T17:29:59Z,2009-09-15T03:19:46Z,,,,,
2009-09-14T18:00:00Z,2009-09-15T03:49:47Z,,,,,
2009-09-14T18:30:00Z,2009-09-15T04:19:47Z,,,,,
2009-09-14T18:59:59Z,2009-09-15T04:49:46Z,,,,,
2009-09-14T19:30:00Z,2009-09-15T05:19:47Z,,,,,
2009-09-14T20:00:00Z,2009-09-15T05:49:47Z,,,,,
2009-09-14T20:29:59Z,2009-09-15T06:19:46Z,,,,,
2009-09-14T21:00:00Z,2009-09-15T06:49:47Z,,,,,
2009-09-14T21:30:00Z,2009-09-15T07:19:47Z,,,,,
2009-09-14T21:59:59Z,2009-09-15T07:49:46Z,,,,,
2009-09-14T22:30:00Z,2009-09-15T08:19:47Z,,,,,
2009-09-14T23:00:00Z,2009-09-15T08:49:47Z,,,,,
2009-09-14T23:29:59Z,2009-09-15T09:19:46Z,,,,,
2009-09-15T00:00:00Z,2009-09-15T09:49:47Z,,,,,
2009-09-15T00:30:00Z,2009-09-15T10:19:47Z,,,,,OUT_WARN
2009-09-15T00:59:59Z,2009-09-15T10:49:46Z,,OUT_WARN,,,OUT_WARN
2009-09-15T01:30:00Z,2009-09-15T11:19:47Z,OUT_WARN,OUT_WARN,OUT_WARN,,OUT_WARN
2009-09-15T02:00:00Z,2009-09-15T11:49:47Z,OUT_WARN,OUT_WARN,,,OUT_WARN
2009-09-15T02:29:59Z,2009-09-15T12:19:46Z,OUT_WARN,OUT_WARN,OUT_WARN,OUT_WARN,OUT_WARN
2009-09-15T03:00:00Z,2009-09-15T12:49:47Z,OUT_WARN,OUT_WARN,OUT_WARN,OUT_WARN,OUT_WARN
2009-09-15T03:30:00Z,2009-09-15T13:19:47Z,OUT_WARN,OUT_WARN,OUT_WARN,OUT_WARN,OUT_WARN
2009-09-15T03:59:59Z,2009-09-15T13:49:46Z,OUT_WARN,OUT_WARN,OUT_WARN,OUT_WARN,OUT_WARN
2009-09-15T04:30:00Z,2009-09-15T14:19:47Z,OUT_WARN,OUT_WARN,OUT_WARN,OUT_WARN,OUT_WARN
2009-09-15T05:00:00Z,2009-09-15T14:49:47Z,OUT_WARN,OUT_WARN,OUT_WARN,OUT_WARN,OUT_WARN
2009-09-15T05:29:59Z,2009-09-15T15:19:46Z,OUT_WARN,OUT_WARN,OUT_WARN,OUT_WARN,OUT_WARN
2009-09-15T06:00:00Z,2009-09-15T15:49:47Z,OUT_WARN,OUT_WARN,OUT_WARN,OUT_WARN,OUT_WARN
