TIMESTAMP,solar_TIMESTAMP,CHN_YIN_ST1_Peu_Js_1,CHN_YIN_ST1_Peu_Js_2,CHN_YIN_ST1_Peu_Js_3,CHN_YIN_ST1_Peu_Js_4,CHN_YIN_ST1_Peu_Js_5
2012-05-27T20:40:00Z,2012-05-28T02:24:55Z,,,,,
2012-05-27T20:50:00Z,2012-05-28T02:34:55Z,,,,,
2012-05-27T21:00:00Z,2012-05-28T02:44:55Z,,,,,
2012-05-27T21:10:00Z,2012-05-28T02:54:55Z,,,,,
2012-05-27T21:19:59Z,2012-05-28T03:04:54Z,,,,,
2012-05-27T21:29:59Z,2012-05-28T03:14:54Z,,,,,
2012-05-27T21:39:59Z,2012-05-28T03:24:54Z,,,,,
2012-05-27T21:50:00Z,2012-05-28T03:34:55Z,,,,,
2012-05-27T22:00:00Z,2012-05-28T03:44:55Z,,,,,
2012-05-27T22:10:00Z,2012-05-28T03:54:55Z,,,,,
2012-05-27T22:20:00Z,2012-05-28T04:04:55Z,,,,,
2012-05-27T22:30:00Z,2012-05-28T04:14:55Z,,,,,
2012-05-27T22:40:00Z,2012-05-28T04:24:55Z,,,,,
2012-05-27T22:49:59Z,2012-05-28T04:34:54Z,,,,,
2012-05-27T22:59:59Z,2012-05-28T04:44:54Z,,,,,
2012-05-27T23:09:59Z,2012-05-28T04:54:54Z,,,,,
2012-05-27T23:20:00Z,2012-05-28T05:04:55Z,,,,,
2012-05-27T23:30:00Z,2012-05-28T05:14:55Z,,,,,
2012-05-27T23:40:00Z,2012-05-28T05:24:55Z,,,,,
2012-05-27T23:50:00Z,2012-05-28T05:34:55Z,,,,,
2012-05-28T00:00:00Z,2012-05-28T05:44:55Z,,,,,
2012-05-28T00:10:00Z,2012-05-28T05:54:55Z,,,,,
2012-05-28T00:19:59Z,2012-05-28T06:04:54Z,,,,,
2012-05-28T00:29:59Z,2012-05-28T06:14:54Z,,,,,
2012-05-28T00:39:59Z,2012-05-28T06:24:54Z,,,,,
2012-05-28T00:50:00Z,2012-05-28T06:34:55Z,,,,,
2012-05-28T01:00:00Z,2012-05-28T06:44:55Z,,,,,
2012-05-28T01:10:00Z,2012-05-28T06:54:55Z,,,,,
2012-05-28T01:20:00Z,2012-05-28T07:04:55Z,,,,,
2012-05-28T01:30:00Z,2012-05-28T07:14:55Z,,,,,
2012-05-28T01:40:00Z,2012-05-28T07:24:55Z,,,,,
2012-05-28T01:49:59Z,2012-05-28T07:34:54Z,,,,,
2012-05-28T01:59:59Z,2012-05-28T07:44:54Z,,,,,
2012-05-28T02:09:59Z,2012-05-28T07:54:54Z,,,,,
2012-05-28T02:20:00Z,2012-05-28T08:04:55Z,,,,,
2012-05-28T02:30:00Z,2012-05-28T08:14:55Z,,,,,
2012-05-28T02:40:00Z,2012-05-28T08:24:55Z,,,,,
2012-05-28T02:50:00Z,2012-05-28T08:34:55Z,,,,,
2012-05-28T03:00:00Z,2012-05-28T08:44:55Z,,,,,
2012-05-28T03:10:00Z,2012-05-28T08:54:55Z,,,,,
2012-05-28T03:19:59Z,2012-05-28T09:04:54Z,,,,,
2012-05-28T03:29:59Z,2012-05-28T09:14:54Z,,,,,
2012-05-28T03:39:59Z,2012-05-28T09:24:54Z,,,,,
2012-05-28T03:50:00Z,2012-05-28T09:34:55Z,,,,,
2012-05-28T04:00:00Z,2012-05-28T09:44:55Z,,,,,
2012-05-28T04:10:00Z,2012-05-28T09:54:55Z,,,,,
2012-05-28T04:20:00Z,2012-05-28T10:04:55Z,,,,,
2012-05-28T04:30:00Z,2012-05-28T10:14:55Z,,,,,
2012-05-28T04:40:00Z,2012-05-28T10:24:55Z,,,,,
2012-05-28T04:49:59Z,2012-05-28T10:34:54Z,,,,,
2012-05-28T04:59:59Z,2012-05-28T10:44:54Z,,,,,
2012-05-28T05:09:59Z,2012-05-28T10:54:54Z,,,,,
2012-05-28T05:20:00Z,2012-05-28T11:04:55Z,,,,,
2012-05-28T05:30:00Z,2012-05-28T11:14:55Z,,,,,
2012-05-28T05:40:00Z,2012-05-28T11:24:55Z,,,,,
2012-05-28T05:50:00Z,2012-05-28T11:34:55Z,,,,,
2012-05-28T06:00:00Z,2012-05-28T11:44:55Z,,,,,
2012-05-28T06:10:00Z,2012-05-28T11:54:55Z,,,,,
2012-05-28T06:19:59Z,2012-05-28T12:04:54Z,,,,,
2012-05-28T06:29:59Z,2012-05-28T12:14:54Z,,,,,
2012-05-28T06:39:59Z,2012-05-28T12:24:54Z,,,,,
2012-05-28T06:50:00Z,2012-05-28T12:34:55Z,,,,,
