TIMESTAMP,solar_TIMESTAMP,ESP_RIN_Qpy_Jt_1,ESP_RIN_Qpy_Jt_2,ESP_RIN_Qpy_Jt_3,ESP_RIN_Qpy_Jt_4,ESP_RIN_Qpy_Jt_5,ESP_RIN_Qpy_Jt_6,ESP_RIN_Qpy_Jt_7,ESP_RIN_Qpy_Jt_8
2007-06-10T05:00:00Z,2007-06-10T04:35:57Z,,,,,,,,
2007-06-10T06:00:00Z,2007-06-10T05:35:57Z,,,,,,,,
2007-06-10T07:00:00Z,2007-06-10T06:35:57Z,,,,,,,,
2007-06-10T08:00:00Z,2007-06-10T07:35:57Z,,,,,,,,
2007-06-10T09:00:00Z,2007-06-10T08:35:57Z,,,,,,,,
2007-06-10T10:00:00Z,2007-06-10T09:35:57Z,,,,,,,,
2007-06-10T11:00:00Z,2007-06-10T10:35:57Z,,,,,,,,
2007-06-10T12:00:00Z,2007-06-10T11:35:57Z,,,,,,,,
2007-06-10T13:00:00Z,2007-06-10T12:35:57Z,,,,,,,,
2007-06-10T14:00:00Z,2007-06-10T13:35:57Z,,,,,,,,
2007-06-10T15:00:00Z,2007-06-10T14:35:57Z,,,,,,,,
2007-06-10T16:00:00Z,2007-06-10T15:35:57Z,,,,,,,,
2007-06-10T17:00:00Z,2007-06-10T16:35:57Z,,,,,,,,
2007-06-10T18:00:00Z,2007-06-10T17:35:57Z,,,,,,,,
2007-06-10T19:00:00Z,2007-06-10T18:35:57Z,,,,,,,,
2007-06-10T20:00:00Z,2007-06-10T19:35:57Z,,,,,,,,
2007-06-10T21:00:00Z,2007-06-10T20:35:57Z,,,,,,,,
2007-06-10T22:00:00Z,2007-06-10T21:35:57Z,,,,,,,,
2007-06-10T23:00:00Z,2007-06-10T22:35:57Z,,,,,,,,
2007-06-11T00:00:00Z,2007-06-10T23:35:57Z,,,,,,,,
2007-06-11T01:00:00Z,2007-06-11T00:35:45Z,,,,,,,,
2007-06-11T02:00:00Z,2007-06-11T01:35:45Z,,,,,,,,
2007-06-11T03:00:00Z,2007-06-11T02:35:45Z,,,,,,,,
2007-06-11T04:00:00Z,2007-06-11T03:35:45Z,,,,,,,,
2007-06-11T05:00:00Z,2007-06-11T04:35:45Z,,,,,,,,
2007-06-11T06:00:00Z,2007-06-11T05:35:45Z,,,,,,,,
2007-06-11T07:00:00Z,2007-06-11T06:35:45Z,,,,,,,,
2007-06-11T08:00:00Z,2007-06-11T07:35:45Z,,,,,,,,
2007-06-11T09:00:00Z,2007-06-11T08:35:45Z,,,,,,,,
2007-06-11T10:00:00Z,2007-06-11T09:35:45Z,,,,,,,,
2007-06-11T11:00:00Z,2007-06-11T10:35:45Z,,,,,,,,
2007-06-11T12:00:00Z,2007-06-11T11:35:45Z,,,,,,,,
2007-06-11T13:00:00Z,2007-06-11T12:35:45Z,,,,,,,,
2007-06-11T14:00:00Z,2007-06-11T13:35:45Z,,,,,,,,
2007-06-11T15:00:00Z,2007-06-11T14:35:45Z,,,,,,,,
2007-06-11T16:00:00Z,2007-06-11T15:35:45Z,,,,,,,,
2007-06-11T17:00:00Z,2007-06-11T16:35:45Z,,,,,,,,
2007-06-11T18:00:00Z,2007-06-11T17:35:45Z,,,,,,,,
2007-06-11T19:00:00Z,2007-06-11T18:35:45Z,,,,,,,,
2007-06-11T20:00:00Z,2007-06-11T19:35:45Z,,,,,,,,
2007-06-11T21:00:00Z,2007-06-11T20:35:45Z,,,,,,,,
2007-06-11T22:00:00Z,2007-06-11T21:35:45Z,,,,,,,,
2007-06-11T23:00:00Z,2007-06-11T22:35:45Z,,,,,,,,
2007-06-12T00:00:00Z,2007-06-11T23:35:45Z,,,,,,,,
2007-06-12T01:00:00Z,2007-06-12T00:35:34Z,,,,,,,,
2007-06-12T02:00:00Z,2007-06-12T01:35:34Z,,,,,,,,
2007-06-12T03:00:00Z,2007-06-12T02:35:34Z,,,,,,,,
2007-06-12T04:00:00Z,2007-06-12T03:35:34Z,,,,,,,,
2007-06-12T05:00:00Z,2007-06-12T04:35:34Z,,,,,,,,
2007-06-12T06:00:00Z,2007-06-12T05:35:34Z,,,,,,,,
2007-06-12T07:00:00Z,2007-06-12T06:35:34Z,,,,,,,,
2007-06-12T08:00:00Z,2007-06-12T07:35:34Z,,,,,,,,
2007-06-12T09:00:00Z,2007-06-12T08:35:34Z,,,,,,,,
2007-06-12T10:00:00Z,2007-06-12T09:35:34Z,,,,,,,,
2007-06-12T11:00:00Z,2007-06-12T10:35:34Z,,,,,,,,
2007-06-12T12:00:00Z,2007-06-12T11:35:34Z,,,,,,,,
2007-06-12T13:00:00Z,2007-06-12T12:35:34Z,,,,,,,,
2007-06-12T14:00:00Z,2007-06-12T13:35:34Z,,,,,,,,
2007-06-12T15:00:00Z,2007-06-12T14:35:34Z,,,,,,,,
2007-06-12T16:00:00Z,2007-06-12T15:35:34Z,,,,,,,,
2007-06-12T17:00:00Z,2007-06-12T16:35:34Z,,,,,,,,
2007-06-12T18:00:00Z,2007-06-12T17:35:34Z,,,,,,,,
2007-06-12T19:00:00Z,2007-06-12T18:35:34Z,,,,,,,,
2007-06-12T20:00:00Z,2007-06-12T19:35:34Z,,,,,,,,
2007-06-12T21:00:00Z,2007-06-12T20:35:34Z,,,,,,,,
2007-06-12T22:00:00Z,2007-06-12T21:35:34Z,,,,,,,,
2007-06-12T23:00:00Z,2007-06-12T22:35:34Z,,,,,,,,
2007-06-13T00:00:00Z,2007-06-12T23:35:34Z,,,,,,,,
2007-06-13T01:00:00Z,2007-06-13T00:35:22Z,,,,,,,,
2007-06-13T02:00:00Z,2007-06-13T01:35:22Z,,,,,,,,
2007-06-13T03:00:00Z,2007-06-13T02:35:22Z,,,,,,,,
2007-06-13T04:00:00Z,2007-06-13T03:35:22Z,,,,,,,,
2007-06-13T05:00:00Z,2007-06-13T04:35:22Z,,,,,,,,
2007-06-13T06:00:00Z,2007-06-13T05:35:22Z,,,,,,,,
2007-06-13T07:00:00Z,2007-06-13T06:35:22Z,,,,,,,,
2007-06-13T08:00:00Z,2007-06-13T07:35:22Z,,,,,,,,
2007-06-13T09:00:00Z,2007-06-13T08:35:22Z,,,,,,,,
2007-06-13T10:00:00Z,2007-06-13T09:35:22Z,,,,,,,,
2007-06-13T11:00:00Z,2007-06-13T10:35:22Z,,,,,,,,
2007-06-13T12:00:00Z,2007-06-13T11:35:22Z,,,,,,,,
2007-06-13T13:00:00Z,2007-06-13T12:35:22Z,,,,,,,,
2007-06-13T14:00:00Z,2007-06-13T13:35:22Z,OUT_WARN,,OUT_WARN,,,OUT_WARN,,
2007-06-13T15:00:00Z,2007-06-13T14:35:22Z,,,,,,,,
2007-06-13T16:00:00Z,2007-06-13T15:35:22Z,,,,,,,,
2007-06-13T17:00:00Z,2007-06-13T16:35:22Z,,,,,,,,
2007-06-13T18:00:00Z,2007-06-13T17:35:22Z,,,,,,,,
2007-06-13T19:00:00Z,2007-06-13T18:35:22Z,,,,,,,,
2007-06-13T20:00:00Z,2007-06-13T19:35:22Z,,,,,,,,
2007-06-13T21:00:00Z,2007-06-13T20:35:22Z,,,,,,,,
2007-06-13T22:00:00Z,2007-06-13T21:35:22Z,,,,,,,,
2007-06-13T23:00:00Z,2007-06-13T22:35:22Z,,,,,,,,
2007-06-14T00:00:00Z,2007-06-13T23:35:22Z,,,,,,,,
2007-06-14T01:00:00Z,2007-06-14T00:35:10Z,,,,,,,,
2007-06-14T02:00:00Z,2007-06-14T01:35:10Z,,,,,,,,
2007-06-14T03:00:00Z,2007-06-14T02:35:10Z,,,,,,,,
