TIMESTAMP,solar_TIMESTAMP,SWE_SKO_MIN_Pab_Jt_1,SWE_SKO_MIN_Pab_Jt_2,SWE_SKO_MIN_Pab_Jt_3,SWE_SKO_MIN_Pab_Jt_4,SWE_SKO_MIN_Pab_Jt_5,SWE_SKO_MIN_Pab_Jt_6,SWE_SKO_MIN_Pab_Jt_7,SWE_SKO_MIN_Pab_Jt_8,SWE_SKO_MIN_Pab_Jt_9,SWE_SKO_MIN_Pab_Jt_10,SWE_SKO_MIN_Pab_Jt_11
2015-01-04T20:00:00Z,2015-01-04T20:42:46Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-04T20:30:00Z,2015-01-04T21:12:46Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-04T21:00:00Z,2015-01-04T21:42:46Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-04T21:30:00Z,2015-01-04T22:12:46Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-04T22:00:00Z,2015-01-04T22:42:46Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-04T22:30:00Z,2015-01-04T23:12:46Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-04T23:00:00Z,2015-01-04T23:42:46Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-04T23:30:00Z,2015-01-05T00:12:22Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-05T00:00:00Z,2015-01-05T00:42:22Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-05T00:30:00Z,2015-01-05T01:12:22Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-05T01:00:00Z,2015-01-05T01:42:22Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
