TIMESTAMP,solar_TIMESTAMP,ta,vpd,sw_in,ppfd_in,precip,swc_shallow,rh,ext_rad
2001-04-21T07:00:00Z,2001-04-21T06:46:13Z,,,,,OUT_WARN,,CALCULATED,CALCULATED
2001-04-21T07:30:00Z,2001-04-21T07:16:13Z,,,,,,,CALCULATED,CALCULATED
2001-04-21T08:00:00Z,2001-04-21T07:46:13Z,,,,,,,CALCULATED,CALCULATED
2001-04-21T08:30:00Z,2001-04-21T08:16:13Z,,,,,,,CALCULATED,CALCULATED
2001-04-21T09:00:00Z,2001-04-21T08:46:13Z,,,,,,,CALCULATED,CALCULATED
2001-04-21T09:30:00Z,2001-04-21T09:16:13Z,,,,,OUT_WARN,,CALCULATED,CALCULATED
2001-04-21T10:00:00Z,2001-04-21T09:46:13Z,,,,,OUT_WARN,,CALCULATED,CALCULATED
2001-04-21T10:30:00Z,2001-04-21T10:16:13Z,,,,OUT_WARN,OUT_WARN,,CALCULATED,CALCULATED
2001-04-21T11:00:00Z,2001-04-21T10:46:13Z,,,,,OUT_WARN,,CALCULATED,CALCULATED
2001-04-21T11:30:00Z,2001-04-21T11:16:13Z,,,,,OUT_WARN,,CALCULATED,CALCULATED
2001-04-21T12:00:00Z,2001-04-21T11:46:13Z,,,OUT_WARN,OUT_WARN,OUT_WARN,,CALCULATED,CALCULATED
2001-04-21T12:30:00Z,2001-04-21T12:16:13Z,,,OUT_WARN,OUT_WARN,,,CALCULATED,CALCULATED
2001-04-21T13:00:00Z,2001-04-21T12:46:13Z,,,OUT_WARN,OUT_WARN,,,CALCULATED,CALCULATED
2001-04-21T13:30:00Z,2001-04-21T13:16:13Z,,,OUT_WARN,OUT_WARN,,,CALCULATED,CALCULATED
2001-04-21T14:00:00Z,2001-04-21T13:46:13Z,,,OUT_WARN,OUT_WARN,OUT_WARN,,CALCULATED,CALCULATED
2001-04-21T14:30:00Z,2001-04-21T14:16:13Z,,,,,OUT_WARN,,CALCULATED,CALCULATED
2001-04-21T15:00:00Z,2001-04-21T14:46:13Z,,,OUT_WARN,OUT_WARN,,,CALCULATED,CALCULATED
2001-04-21T15:30:00Z,2001-04-21T15:16:13Z,,,OUT_WARN,OUT_WARN,,OUT_WARN,CALCULATED,CALCULATED
2001-04-21T16:00:00Z,2001-04-21T15:46:13Z,,,OUT_WARN,OUT_WARN,,OUT_WARN,CALCULATED,CALCULATED
2001-04-21T16:30:00Z,2001-04-21T16:16:13Z,,,,,OUT_WARN,OUT_WARN,CALCULATED,CALCULATED
2001-04-21T17:00:00Z,2001-04-21T16:46:13Z,,,,,OUT_WARN,OUT_WARN,CALCULATED,CALCULATED
2001-04-21T17:30:00Z,2001-04-21T17:16:13Z,,,,,OUT_WARN,OUT_WARN,CALCULATED,CALCULATED
